Country,GDP per capita,Life satisfaction
Australia,51885.47,7.1
Austria,48634.34,7.2
Belgium,43813.77,6.8
Brazil,6450.45,6.1
Canada,42080.05,7.0
Chile,12612.32,6.2
Colombia,5207.24,5.7
Costa Rica,11629.01,6.3
Denmark,58438.85,7.5
Estonia,22985.86,6.5
Finland,48461.48,7.9
France,39257.43,6.7
Germany,45466.12,7.3
Greece,18168.34,5.8
Hungary,15372.89,6.0
Iceland,57189.03,7.6
Ireland,79668.5,7.0
Israel,41559.51,7.2
Italy,30657.3,6.5
Japan,39047.86,6.1
Korea,30644.43,5.8
Latvia,17230.14,6.2
Lithuania,19883.07,6.4
Luxembourg,109602.32,7.4
Mexico,8069.1,6.0
Netherlands,51289.57,7.5
New Zealand,38675.32,7.3
Norway,67988.59,7.3
Poland,15303.54,6.1
Portugal,21608.35,5.8
Russia,9972.5,5.5
Slovak Republic,18669.3,6.5
Slovenia,25038.79,6.5
South Africa,4735.75,4.9
Spain,26831.63,6.5
Sweden,50339.2,7.3
Switzerland,81867.46,7.5
United Kingdom,39228.52,6.8
United States,63051.4,7.0